freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.164e+03,3.096e+01,4.153e+01,1.236e+03
1.6,6.713e+02,6.000e+01,6.897e+01,8.002e+02
3.1,4.606e+01,5.324e+01,4.959e+01,1.489e+02
4.7,3.782e+02,5.156e+01,4.655e+01,4.763e+02
6.3,1.230e+03,5.220e+01,5.017e+01,1.332e+03
7.9,2.043e+03,5.917e+01,5.413e+01,2.156e+03
9.4,2.599e+03,5.801e+01,5.142e+01,2.708e+03
11.0,2.972e+03,5.962e+01,4.694e+01,3.079e+03
12.6,4.010e+03,5.714e+01,4.150e+01,4.109e+03
14.2,5.139e+03,5.194e+01,4.549e+01,5.237e+03
15.7,6.438e+03,5.119e+01,5.058e+01,6.540e+03
17.3,7.630e+03,7.487e+01,5.578e+01,7.760e+03
18.9,8.393e+03,1.047e+02,5.709e+01,8.555e+03
20.5,9.797e+03,8.893e+01,6.041e+01,9.947e+03
22.0,1.153e+04,8.614e+01,7.816e+01,1.169e+04
23.6,1.307e+04,9.107e+01,1.258e+02,1.328e+04
25.2,1.417e+04,8.561e+01,1.751e+02,1.443e+04
26.8,1.613e+04,8.221e+01,1.756e+02,1.639e+04
28.3,1.846e+04,8.763e+01,1.486e+02,1.870e+04
29.9,2.082e+04,7.218e+01,1.439e+02,2.104e+04
31.5,2.408e+04,5.887e+01,1.596e+02,2.429e+04
33.1,2.720e+04,5.544e+01,2.330e+02,2.749e+04
34.6,2.967e+04,5.131e+01,3.531e+02,3.007e+04
36.2,3.310e+04,5.344e+01,4.096e+02,3.356e+04
37.8,3.714e+04,5.294e+01,3.669e+02,3.756e+04
39.4,4.054e+04,5.346e+01,2.990e+02,4.089e+04
40.9,4.266e+04,5.696e+01,2.687e+02,4.299e+04
42.5,4.409e+04,5.975e+01,2.400e+02,4.439e+04
44.1,4.965e+04,6.231e+01,2.037e+02,4.992e+04
45.7,5.691e+04,6.323e+01,2.239e+02,5.720e+04
47.2,6.450e+04,5.751e+01,2.997e+02,6.486e+04
48.8,7.328e+04,6.061e+01,3.273e+02,7.367e+04
50.4,8.064e+04,5.632e+01,3.071e+02,8.100e+04
51.9,8.493e+04,6.914e+01,2.828e+02,8.528e+04
53.5,8.446e+04,1.136e+02,2.958e+02,8.486e+04
55.1,8.988e+04,1.712e+02,3.887e+02,9.044e+04
56.7,1.013e+05,2.352e+02,5.135e+02,1.021e+05
58.2,1.161e+05,2.981e+02,5.644e+02,1.169e+05
59.8,1.347e+05,3.423e+02,5.218e+02,1.356e+05
61.4,1.574e+05,4.012e+02,4.437e+02,1.582e+05
63.0,1.831e+05,5.895e+02,5.129e+02,1.842e+05
64.5,2.134e+05,8.379e+02,8.527e+02,2.151e+05
66.1,2.534e+05,1.236e+03,1.620e+03,2.562e+05
67.7,3.044e+05,2.092e+03,3.173e+03,3.096e+05
69.3,3.659e+05,4.141e+03,6.247e+03,3.763e+05
70.8,4.298e+05,8.060e+03,1.198e+04,4.499e+05
72.4,4.644e+05,1.420e+04,2.183e+04,5.004e+05
74.0,3.561e+05,2.129e+04,3.893e+04,4.163e+05
75.6,2.251e+05,2.396e+04,5.253e+04,3.016e+05
77.1,2.578e+05,2.230e+04,5.107e+04,3.312e+05
78.7,3.630e+05,2.160e+04,4.798e+04,4.325e+05
80.3,5.106e+05,2.143e+04,4.427e+04,5.763e+05
81.9,6.885e+05,2.227e+04,4.098e+04,7.517e+05
83.4,9.629e+05,2.602e+04,3.931e+04,1.028e+06
85.0,1.343e+06,3.230e+04,3.652e+04,1.411e+06
86.6,1.845e+06,3.935e+04,3.523e+04,1.919e+06
88.2,2.606e+06,4.953e+04,4.619e+04,2.702e+06
89.7,3.270e+06,5.726e+04,6.478e+04,3.392e+06
91.3,3.648e+06,5.282e+04,8.554e+04,3.787e+06
92.9,4.907e+06,4.770e+04,1.021e+05,5.057e+06
94.5,6.863e+06,4.455e+04,1.146e+05,7.022e+06
96.0,8.481e+06,4.618e+04,1.335e+05,8.660e+06
97.6,9.161e+06,4.850e+04,1.428e+05,9.352e+06
99.2,8.955e+06,4.666e+04,1.345e+05,9.136e+06
100.7,8.562e+06,4.189e+04,1.184e+05,8.722e+06
102.3,8.135e+06,3.513e+04,1.017e+05,8.271e+06
103.9,7.690e+06,2.981e+04,9.289e+04,7.813e+06
105.5,7.213e+06,2.924e+04,9.259e+04,7.335e+06
107.0,6.737e+06,3.154e+04,9.518e+04,6.863e+06
108.6,6.223e+06,3.552e+04,9.992e+04,6.358e+06
110.2,5.571e+06,4.025e+04,1.030e+05,5.714e+06
111.8,4.948e+06,4.510e+04,1.059e+05,5.099e+06
113.3,4.325e+06,5.049e+04,1.117e+05,4.487e+06
114.9,3.784e+06,5.439e+04,1.172e+05,3.955e+06
116.5,3.284e+06,5.895e+04,1.189e+05,3.462e+06
118.1,2.830e+06,6.282e+04,1.190e+05,3.012e+06
119.6,2.340e+06,6.142e+04,1.133e+05,2.515e+06
121.2,1.531e+06,5.684e+04,1.005e+05,1.689e+06
122.8,1.142e+06,5.667e+04,9.254e+04,1.292e+06
124.4,1.071e+06,6.042e+04,8.997e+04,1.222e+06
125.9,1.024e+06,6.266e+04,8.669e+04,1.173e+06
127.5,9.664e+05,6.214e+04,8.393e+04,1.112e+06
129.1,9.275e+05,6.284e+04,8.140e+04,1.072e+06
130.7,9.046e+05,6.755e+04,8.065e+04,1.053e+06
132.2,7.100e+05,5.954e+04,6.551e+04,8.351e+05
133.8,1.761e+05,1.885e+04,1.832e+04,2.132e+05
135.4,2.286e+04,6.770e+03,4.645e+03,3.427e+04
137.0,1.955e+04,7.773e+03,4.617e+03,3.194e+04
138.5,1.881e+04,1.030e+04,4.732e+03,3.384e+04
140.1,1.790e+04,1.379e+04,4.817e+03,3.651e+04
141.7,1.595e+04,1.807e+04,4.663e+03,3.868e+04
143.2,1.289e+04,2.102e+04,3.782e+03,3.769e+04
144.8,9.542e+03,2.192e+04,2.685e+03,3.415e+04
146.4,7.303e+03,2.248e+04,1.833e+03,3.161e+04
148.0,5.895e+03,1.923e+04,1.110e+03,2.624e+04
149.5,5.550e+03,1.513e+04,7.793e+02,2.146e+04
151.1,5.678e+03,1.387e+04,7.169e+02,2.026e+04
152.7,6.111e+03,1.312e+04,8.240e+02,2.005e+04
154.3,7.566e+03,1.480e+04,1.072e+03,2.344e+04
155.8,9.682e+03,1.866e+04,1.458e+03,2.980e+04
157.4,1.249e+04,2.182e+04,1.819e+03,3.612e+04
159.0,1.898e+04,2.625e+04,2.380e+03,4.761e+04
160.6,2.935e+04,3.372e+04,3.441e+03,6.651e+04
162.1,3.315e+04,3.649e+04,4.109e+03,7.374e+04
163.7,3.417e+04,3.393e+04,4.330e+03,7.243e+04
165.3,3.441e+04,2.965e+04,4.350e+03,6.841e+04
166.9,3.363e+04,2.551e+04,4.052e+03,6.319e+04
168.4,3.038e+04,2.121e+04,3.429e+03,5.501e+04
170.0,2.583e+04,1.695e+04,2.595e+03,4.537e+04
171.6,2.242e+04,1.354e+04,2.042e+03,3.801e+04
173.2,1.968e+04,1.087e+04,1.803e+03,3.236e+04
174.7,1.722e+04,9.132e+03,1.212e+03,2.756e+04
176.3,1.612e+04,9.251e+03,9.725e+02,2.635e+04
177.9,1.520e+04,9.387e+03,8.994e+02,2.549e+04
179.5,1.409e+04,8.803e+03,8.736e+02,2.377e+04
181.0,1.404e+04,7.635e+03,8.064e+02,2.248e+04
182.6,1.434e+04,6.251e+03,7.789e+02,2.137e+04
184.2,1.339e+04,5.673e+03,6.844e+02,1.975e+04
185.8,1.244e+04,6.323e+03,5.279e+02,1.929e+04
187.3,1.235e+04,7.601e+03,5.537e+02,2.051e+04
188.9,1.287e+04,8.132e+03,6.397e+02,2.164e+04
190.5,1.393e+04,8.740e+03,7.230e+02,2.339e+04
192.0,1.381e+04,9.750e+03,8.891e+02,2.445e+04
193.6,1.349e+04,1.016e+04,1.124e+03,2.478e+04
195.2,1.395e+04,1.133e+04,1.506e+03,2.679e+04
196.8,1.392e+04,1.194e+04,1.822e+03,2.768e+04
198.3,1.306e+04,1.205e+04,1.982e+03,2.710e+04
199.9,1.228e+04,1.204e+04,1.950e+03,2.627e+04
