freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.295e+01,2.839e+01,7.695e+02,8.808e+02
1.6,6.548e+01,3.739e+01,4.736e+02,5.765e+02
3.2,2.451e+01,3.026e+01,5.041e+01,1.052e+02
4.7,2.375e+01,2.810e+01,4.322e+02,4.841e+02
6.3,2.242e+01,2.628e+01,1.385e+03,1.433e+03
7.9,3.350e+01,2.727e+01,1.839e+03,1.899e+03
9.5,5.184e+01,2.762e+01,2.534e+03,2.613e+03
11.0,3.463e+01,2.912e+01,3.601e+03,3.665e+03
12.6,2.435e+01,2.942e+01,4.868e+03,4.921e+03
14.2,2.731e+01,2.914e+01,6.382e+03,6.439e+03
15.8,3.449e+01,3.159e+01,7.639e+03,7.705e+03
17.4,5.614e+01,4.832e+01,9.042e+03,9.147e+03
18.9,4.561e+01,5.530e+01,1.187e+04,1.197e+04
20.5,3.852e+01,4.948e+01,1.539e+04,1.548e+04
22.1,9.258e+01,5.710e+01,1.877e+04,1.892e+04
23.7,2.295e+02,8.100e+01,1.834e+04,1.865e+04
25.3,2.573e+02,9.663e+01,1.748e+04,1.784e+04
26.8,2.263e+02,9.473e+01,2.068e+04,2.100e+04
28.4,2.108e+02,1.049e+02,2.423e+04,2.454e+04
30.0,2.129e+02,1.278e+02,2.730e+04,2.764e+04
31.6,2.138e+02,1.069e+02,3.206e+04,3.238e+04
33.1,2.735e+02,7.604e+01,3.693e+04,3.728e+04
34.7,3.489e+02,5.968e+01,4.206e+04,4.246e+04
36.3,4.572e+02,4.936e+01,5.042e+04,5.092e+04
37.9,5.504e+02,3.984e+01,6.011e+04,6.070e+04
39.5,5.958e+02,3.504e+01,6.992e+04,7.055e+04
41.0,6.022e+02,3.427e+01,7.708e+04,7.772e+04
42.6,5.797e+02,4.903e+01,8.602e+04,8.665e+04
44.2,5.791e+02,8.337e+01,1.046e+05,1.053e+05
45.8,5.926e+02,1.634e+02,1.301e+05,1.309e+05
47.4,5.936e+02,3.028e+02,1.632e+05,1.641e+05
48.9,6.390e+02,4.942e+02,2.038e+05,2.049e+05
50.5,6.685e+02,7.624e+02,2.508e+05,2.522e+05
52.1,7.596e+02,1.005e+03,2.919e+05,2.936e+05
53.7,1.025e+03,1.259e+03,3.156e+05,3.179e+05
55.2,1.548e+03,1.615e+03,3.700e+05,3.731e+05
56.8,2.059e+03,1.901e+03,4.311e+05,4.350e+05
58.4,2.366e+03,2.391e+03,4.960e+05,5.008e+05
60.0,2.517e+03,3.842e+03,6.366e+05,6.430e+05
61.6,2.658e+03,6.241e+03,9.224e+05,9.313e+05
63.1,4.736e+03,1.144e+04,1.491e+06,1.507e+06
64.7,1.014e+04,2.169e+04,2.563e+06,2.595e+06
66.3,1.916e+04,3.364e+04,4.095e+06,4.148e+06
67.9,3.073e+04,4.255e+04,5.047e+06,5.121e+06
69.5,4.434e+04,4.592e+04,4.359e+06,4.449e+06
71.0,5.185e+04,4.396e+04,2.933e+06,3.029e+06
72.6,3.970e+04,3.301e+04,1.643e+06,1.716e+06
74.2,1.224e+04,1.515e+04,8.587e+05,8.861e+05
75.8,2.878e+03,7.502e+03,5.817e+05,5.921e+05
77.3,5.855e+03,4.765e+03,6.091e+05,6.198e+05
78.9,1.146e+04,3.662e+03,7.820e+05,7.971e+05
80.5,1.687e+04,3.688e+03,9.203e+05,9.408e+05
82.1,2.289e+04,4.759e+03,9.643e+05,9.919e+05
83.7,3.444e+04,6.455e+03,9.421e+05,9.829e+05
85.2,5.459e+04,7.899e+03,8.772e+05,9.397e+05
86.8,6.687e+04,9.525e+03,8.018e+05,8.782e+05
88.4,5.862e+04,1.204e+04,7.340e+05,8.047e+05
90.0,5.649e+04,1.658e+04,7.205e+05,7.936e+05
91.6,1.460e+05,2.033e+04,6.985e+05,8.649e+05
93.1,2.337e+05,2.523e+04,6.863e+05,9.452e+05
94.7,3.114e+05,3.260e+04,6.797e+05,1.024e+06
96.3,3.533e+05,4.106e+04,6.706e+05,1.065e+06
97.9,3.686e+05,5.089e+04,6.755e+05,1.095e+06
99.4,4.363e+05,6.298e+04,6.812e+05,1.181e+06
101.0,5.425e+05,7.877e+04,6.836e+05,1.305e+06
102.6,6.483e+05,9.563e+04,6.631e+05,1.407e+06
104.2,7.632e+05,1.112e+05,6.102e+05,1.485e+06
105.8,8.343e+05,1.272e+05,5.350e+05,1.496e+06
107.3,7.984e+05,1.457e+05,4.422e+05,1.386e+06
108.9,6.974e+05,1.439e+05,3.272e+05,1.169e+06
110.5,5.553e+05,1.098e+05,2.380e+05,9.031e+05
112.1,4.433e+05,7.300e+04,2.084e+05,7.247e+05
113.7,3.658e+05,4.650e+04,2.046e+05,6.169e+05
115.2,3.025e+05,2.969e+04,2.105e+05,5.427e+05
116.8,2.564e+05,1.880e+04,2.213e+05,4.965e+05
118.4,2.202e+05,1.227e+04,2.266e+05,4.590e+05
120.0,1.803e+05,8.252e+03,2.075e+05,3.961e+05
121.5,1.321e+05,5.959e+03,1.574e+05,2.955e+05
123.1,1.105e+05,4.954e+03,1.438e+05,2.592e+05
124.7,9.800e+04,4.224e+03,1.503e+05,2.526e+05
126.3,8.772e+04,4.019e+03,1.556e+05,2.474e+05
127.9,8.117e+04,4.470e+03,1.570e+05,2.426e+05
129.4,7.890e+04,5.091e+03,1.576e+05,2.416e+05
131.0,8.011e+04,5.845e+03,1.573e+05,2.432e+05
132.6,7.022e+04,4.769e+03,1.108e+05,1.858e+05
134.2,5.064e+04,1.638e+03,2.785e+04,8.012e+04
135.7,5.339e+04,1.142e+03,1.480e+04,6.933e+04
137.3,5.376e+04,1.267e+03,1.461e+04,6.963e+04
138.9,4.667e+04,1.467e+03,1.331e+04,6.145e+04
140.5,3.877e+04,1.937e+03,1.121e+04,5.192e+04
142.1,3.396e+04,3.333e+03,9.344e+03,4.664e+04
143.6,2.835e+04,5.926e+03,8.799e+03,4.308e+04
145.2,2.612e+04,1.055e+04,9.232e+03,4.590e+04
146.8,1.859e+04,1.538e+04,8.168e+03,4.214e+04
148.4,1.105e+04,1.311e+04,5.915e+03,3.008e+04
150.0,6.996e+03,1.233e+04,4.691e+03,2.402e+04
151.5,4.826e+03,1.265e+04,4.359e+03,2.184e+04
153.1,4.091e+03,1.180e+04,4.314e+03,2.021e+04
154.7,4.393e+03,1.158e+04,4.621e+03,2.059e+04
156.3,5.355e+03,1.310e+04,5.144e+03,2.360e+04
157.8,6.630e+03,1.656e+04,6.026e+03,2.922e+04
